SongKey,Title,DiscNumber,TrackNumber,DurationMs,Popularity,FeaturingArtists,AlbumKey,LyricsKey,SymphonyKey,Category
5599036e-90cf-4dd7-a2cf-d1fdad62be49,Lavoro Sporco,1,4,204181,68.0,,768e265d-5d33-439b-9ee5-cf0301365a98,220f586a664b43ee841084ef67ee5ad8,b264842f38f143c5a9a2e8a39bf34e28,italian_pop
a20b1c45-8a32-41b3-b0d7-5e0d4b906f23,Un Altro Ticket,1,6,226906,82.0,,49c95688-3962-4e53-a567-7f2e12e5f0df,dd3dd7efb3ab4b33b390e292c4b7c150,44ba12c61d8d45628e8eb59a7042f72b,italian_pop
2ff7d261-7512-4fc5-94fe-4dcf1d4fc597,Ups & Downs,1,6,211760,75.0,,01e15855-9969-4da6-848b-ea32396f4d89,0f3cac0ce3eb43c7b2c49dbd1475ed77,e2af0146997f4fabbc4cda2741b4fec0,english_pop
2f7bd851-a89c-4d15-8321-1de78d9325c3,Outro (Qualcosa Cambierà Mixtape),1,9,118810,1.0,,6a11b0c7-39f3-44c5-9405-e2748450b31e,02187c03ec7a42b2843c85ff98a6220d,52309a4934a24940b2a8d68905650cbf,storytelling
e555199b-ece1-49c5-a487-8fd6a8d95191,mi presento,1,3,119813,9.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,917d728d66534caf991a5405e8b48133,39bfe5091e97487d836c95449a8a6e52,italian_pop
23f741c8-3ced-45a0-869d-13118b893b63,un attimo prima,1,4,306720,9.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,70fff33ea30f45178f058f1bc5b7159d,d9c4c9a359484e0e887efefe0f0699e4,rap_street
becb599d-5042-421d-8ec9-5200d37c52b8,intro,1,1,123066,10.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,b8c6e02e2efb4e6f90432bbf657d1227,f64eeced98954cd0a401f88b0006691d,italian_love
3495e4d8-a670-4f62-b90a-d9eda5ea59e8,salute mentale,1,7,116733,7.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,109eca9bcf26458f83cb54da54d8a3a7,ffb1b2cb15ca4d5d8e4ac04c80a87942,italian_pop
d460c543-d40c-4969-ba1d-a4438be79687,aspettative,1,25,351026,6.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,cac50d57079e45c6933c9b72a6985fd5,01d94a8b4c024b76b77f3ee3bff3e748,italian_pop
778549ec-d043-4fd9-a9b7-cc2a6868a8db,viaggio nei sentimenti,1,14,160253,6.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,ca812fe7e6614869bdb3293a7f772b80,f526eb861335490e99d0a8b1b1c93eab,italian_pop
2c549d1f-737f-4de4-8622-62d41442d0fb,testacoda,1,17,282160,6.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,2f29875b73ba4f6b997eee90b3d5be55,f0a2a58ad66845889d06cf2f126ce989,italian_pop
3aaa45a0-528e-45c1-b67f-8c143229c9f5,l’amore rende ciechi,1,24,280093,5.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,352c40bd3b864220bc0ee71d5474f300,b651e00a0587428cb5e1472332110c66,rap_street
11bf0c28-2968-46d8-bc22-1c725f5f8247,cragk,1,5,314600,8.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,c8d412bbd0bd485d8f2890f49c07cc09,c2b1bc16a843453698ac3d78470029a9,italian_pop
