SongID_Original,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
116c1802-b3a7-41fe-b3a3-32d6934fab67,98.01,2030.2971,1.3761,0.2771,0.8354,30.7293,2335.7343,31.6957
6e9b3509-b41e-4878-9613-d28fe0b4ff68,143.99,1328.0642,1.5289,0.2153,0.885,14.4982,2690.7177,22.1261
9a7569e0-8f1a-41c5-9785-5cf83ba4b9d5,100.02,2091.848,1.3878,0.2128,0.9073,30.6005,1803.9975,21.418
b96e3fed-c693-4e66-8cf5-43f7f70f055a,128.08,884.8261,1.3439,0.1846,0.8996,9.8603,3004.6856,18.3277
dcd6851c-3f23-43c9-87ab-c63abba7f792,172.27,2480.0144,1.2273,0.1646,0.8243,30.4336,1555.062,15.2871
80f7f66a-ba81-44e8-ab83-92baf9057eb3,119.86,942.8636,1.2891,0.1908,0.8991,10.3903,1675.5322,19.5278
e26522ef-a5aa-464c-9b87-3ef4531fc8a9,,,,,,,,
c4a1e641-121b-4ce0-98f4-e9b7c472aa0b,96.45,1325.8035,1.2398,0.1128,0.8626,11.3287,2124.0971,9.9054
0f22b1c2-c868-4272-9b82-f4bbe73b9cf3,155.92,1255.618,1.2028,0.3363,0.9106,37.8036,2325.0992,40.3835
e79b2d88-7ba9-4a07-98a5-fd8f66885815,123.65,1433.8136,1.2458,0.1241,0.8946,11.4577,2505.6631,10.8909
9a41331f-45ba-44a9-a38d-0cb7644b9df3,112.8,1681.8529,1.1123,0.2375,0.9034,32.0066,1881.4201,25.2624
e7921c6f-e07a-45e7-9b18-42c01712f339,120.8,1855.9003,1.0024,0.225,0.8221,26.7146,1723.4627,24.7841
5f688288-343f-4a9b-b2ff-23d70101a94b,118.35,1676.082,1.1742,0.1989,0.8641,30.7594,1777.1598,20.2043
c731072f-c2cb-4df2-bded-463d380adc01,135.94,2361.1278,1.4271,0.2528,0.8494,23.3399,2377.691,27.2185
1c3167b8-cd6f-40d9-9cd4-6edb02767a5d,97.99,1810.9991,1.3935,0.2614,0.8588,35.1553,1825.1888,28.6639
b1edcf75-3f76-41e3-8a45-f6b2699424b7,165.57,1092.3687,1.1018,0.2103,0.9481,29.5025,1559.9011,21.2463
2d9a41a0-d9c3-4477-8ff4-2413e512207f,83.07,1626.6757,1.0795,0.1286,0.8804,18.764,1472.6872,11.2622
970939aa-47ce-43ff-9b92-4978815780a8,89.92,2001.121,1.238,0.2289,0.8253,34.3188,1849.645,24.1778
80a60db0-88dd-4727-abc9-f0e823cafeb3,85.01,1966.5092,1.1789,0.2422,0.8038,33.6837,1878.7339,26.1175
b74a779e-6593-465f-bb3a-04d0a1b91165,101.94,2526.6177,1.2988,0.24,0.7834,37.7952,2003.6959,25.9995
12fd7355-6467-4a18-8fd0-4ba9ef00704a,123.87,1525.7309,1.1228,0.229,0.8495,26.433,1871.8697,25.241
69f5873a-b2bb-4cad-aeab-748e93dec340,103.99,1307.7308,1.0938,0.1863,0.9383,25.2289,1922.7629,18.5034
77bbfd61-4dc1-4397-9c76-a80e7c481575,164.14,1906.6516,1.1777,0.1885,0.8374,31.1961,1905.3194,20.0391
5a6ac281-dc9a-43dc-a534-d329b4d54318,99.85,1696.8278,1.176,0.2208,0.8937,28.7131,2019.1435,23.6573
7a60eca2-2682-4c2f-a219-3a5ae2463fd9,116.96,1453.269,1.2323,0.3146,0.8781,37.4723,1993.2678,36.2402
9613da3b-13f0-4f03-992a-1d24e8cefc69,117.79,1697.1483,1.1602,0.171,0.9026,19.5408,1989.8891,16.5926
9ade82ed-b406-407d-aace-cad412511d27,92.09,1640.2451,1.0385,0.22,0.8627,30.9421,1719.0353,23.7514
b2a24f0c-6dde-45a0-b073-c28cba39743d,139.97,1257.2251,0.986,0.0783,0.8063,8.7394,1991.7068,6.2968
1f244351-6d73-455f-9f92-1f7f2f53f59c,139.95,1949.2216,0.9708,0.1235,0.8752,17.7127,1791.7425,11.3256
0615fb4d-1d77-4384-b1a5-e3b78040f9e7,115.35,1299.2277,1.1207,0.2649,0.916,32.6338,2209.2564,29.4904
ac07c4a5-949b-4643-af95-3157e4ca13d2,89.85,1959.882,1.1485,0.2419,0.8944,36.0126,2001.5049,25.6667
664589e0-3dfe-470c-98f2-0845e137e77b,117.88,2140.234,1.1117,0.2544,0.8171,34.6737,2022.2388,28.009
9d5bd59c-140b-4741-a1ad-90a618cc0291,114.88,1890.7792,1.0121,0.1669,0.8529,20.7972,1689.2871,16.2001
0d6f953d-8ffd-46a3-bd02-d1d9738dc896,95.3,2742.0943,1.377,0.2266,0.8592,28.0899,1924.6794,23.5755
50e18432-615b-4951-9ad8-6773df6c1127,147.97,2388.1245,1.3361,0.0362,0.8141,6.7419,3027.0889,2.4698
f63d78a6-b00d-4f15-b545-c67a2ee5b15e,149.49,1965.8871,0.9677,0.1341,0.831,18.9019,2138.5227,13.3104
14151cc7-a443-4d8f-b04d-9021df302e6f,99.85,1696.8278,1.176,0.2208,0.8937,28.7131,2019.1435,23.6573
8d03c386-bd4b-4715-92d1-a644315dcc1b,96.99,2161.1713,1.3931,0.2626,0.8235,33.1024,2411.5925,29.2878
5c4337a4-c5ac-497f-bed0-a3c6cf49433b,105.0,1664.7941,1.1652,0.1947,0.9133,30.5575,2195.0775,19.8458
225d406f-808f-4cfd-8ae2-ef4f71e85502,152.76,2472.0097,1.1709,0.1392,0.8306,23.7165,1960.6922,13.139
dac1b4b9-560d-442b-94fa-06e778e6575c,165.59,1105.2764,1.0863,0.2269,0.9074,28.2931,1931.7829,24.8198
