SongID_Original,ArtistID_Original
TR869675,ART24123617
TR754884,ART24123617
TR892697,ART24123617
TR490897,ART24123617
TR934807,ART24123617
TR152578,ART24123617
TR823340,ART24123617
TR517220,ART24123617
TR210904,ART24123617
TR900732,ART24123617
TR255803,ART24123617
TR565835,ART24123617
TR987844,ART24123617
TR406031,ART24123617
TR928768,ART24123617
TR505184,ART24123617
TR109319,ART24123617
TR603906,ART24123617
TR151906,ART24123617
TR339271,ART24123617
TR775710,ART24123617
TR910692,ART24123617
TR404432,ART24123617
TR502373,ART24123617
TR221159,ART24123617
TR712954,ART24123617
TR306781,ART24123617
TR798663,ART24123617
TR913667,ART24123617
TR465783,ART24123617
TR964558,ART24123617
TR531963,ART24123617
TR638115,ART24123617
TR195257,ART24123617
TR780163,ART24123617
TR837894,ART24123617
TR216088,ART24123617
TR557502,ART24123617
TR614284,ART24123617
TR931831,ART24123617
TR919537,ART24123617
TR981253,ART24123617
TR982574,ART24123617
TR350319,ART24123617
TR507534,ART24123617
TR670351,ART24123617
TR670351,ART57616402
TR491076,ART24123617
TR225731,ART24123617
TR657289,ART24123617
TR434419,ART24123617
TR991855,ART24123617
TR268955,ART24123617
TR713835,ART24123617
TR838933,ART24123617
TR341732,ART24123617
TR678706,ART24123617
TR785394,ART24123617
TR359803,ART24123617
TR155230,ART24123617
TR651585,ART24123617
TR403582,ART19060721
TR590926,ART19060721
TR379064,ART19060721
TR856566,ART19060721
TR293961,ART19060721
TR700146,ART19060721
TR561890,ART19060721
TR676953,ART19060721
TR578471,ART19060721
TR893244,ART19060721
TR741788,ART19060721
TR128408,ART19060721
TR131806,ART19060721
TR420668,ART19060721
TR932992,ART19060721
TR917526,ART19060721
TR506331,ART19060721
TR887754,ART19060721
TR214987,ART19060721
TR816603,ART19060721
TR970389,ART19060721
TR786644,ART19060721
TR275513,ART19060721
TR778705,ART19060721
TR474045,ART19060721
TR818948,ART19060721
TR688855,ART19060721
TR273041,ART19060721
TR688209,ART19060721
TR688209,ART70825116
TR667334,ART19060721
TR985794,ART19060721
TR317207,ART04141409
TR317207,ART87497821
TR446826,ART04141409
TR228275,ART04141409
TR228275,ART02733420
TR697556,ART04141409
TR697556,ART02733420
TR391415,ART04141409
TR391415,ART39344115
TR391415,ART48622722
TR112894,ART04141409
TR112894,ART74676403
TR112894,ART05528539
TR550101,ART04141409
TR365201,ART04141409
TR893852,ART04141409
TR893852,ART39344115
TR129622,ART04141409
TR129622,ART87497821
TR263196,ART04141409
TR263196,ART87162895
TR569651,ART04141409
TR101183,ART04141409
TR732277,ART04141409
TR732277,ART28846313
TR302217,ART04141409
TR302217,ART46711784
TR407190,ART04141409
TR963985,ART04141409
TR963985,ART05528539
TR963985,ART02733420
TR160501,ART04141409
TR160501,ART02733420
TR353058,ART04141409
TR244037,ART04141409
TR376800,ART04141409
TR597910,ART04141409
TR933656,ART04141409
TR816986,ART04141409
TR969020,ART04141409
TR969020,ART87497821
TR541784,ART04141409
TR913090,ART04141409
TR228873,ART04141409
TR228873,ART85046033
TR228873,ART07127070
TR646941,ART04141409
TR980903,ART04141409
TR980903,ART70825116
TR773009,ART04141409
TR777250,ART04141409
TR777250,ART87497821
TR423453,ART04141409
TR478239,ART04141409
TR478239,ART76284946
TR278846,ART04141409
TR278846,ART87162895
TR619144,ART04141409
TR582832,ART04141409
TR898308,ART04141409
